Name;New_Measure_31-07-2020;
Description;;
Measure-Intervall;00:00:10;
;;

Time SN:702643 (S30X):P1;SN:702643 (S30X):P1 bar;Time SN:702643 (S30X):P2;SN:702643 (S30X):P2 bar;Time SN:702643 (S30X):TOB1;SN:702643 (S30X):TOB1 °C;Time SN:702643 (S30X):TOB2;SN:702643 (S30X):TOB2 °C;Time SN:702643 (S30X):CH0;SN:702643 (S30X):CH0 bar;
7/31/2020 8:40:54 AM.949;14.0462074;7/31/2020 8:40:54 AM.978;9.1586685;7/31/2020 8:40:55 AM.009;24.0878906;7/31/2020 8:40:55 AM.041;24.125;7/31/2020 8:40:55 AM.073;4.8804741;
7/31/2020 8:41:04 AM.950;10.1149483;7/31/2020 8:41:04 AM.974;9.1281815;7/31/2020 8:41:05 AM.013;24.0888672;7/31/2020 8:41:05 AM.038;24.140625;7/31/2020 8:41:05 AM.069;0.9732552;
7/31/2020 8:41:14 AM.950;9.344883;7/31/2020 8:41:14 AM.984;9.0722389;7/31/2020 8:41:15 AM.016;24.0888672;7/31/2020 8:41:15 AM.048;24.1054688;7/31/2020 8:41:15 AM.080;0.2718887;
7/31/2020 8:41:24 AM.950;11.512413;7/31/2020 8:41:24 AM.980;9.1474457;7/31/2020 8:41:25 AM.012;24.1079102;7/31/2020 8:41:25 AM.044;24.125;7/31/2020 8:41:25 AM.081;2.4760895;
7/31/2020 8:41:34 AM.950;13.7524529;7/31/2020 8:41:34 AM.975;9.1451836;7/31/2020 8:41:35 AM.007;24.0878906;7/31/2020 8:41:35 AM.039;24.1054688;7/31/2020 8:41:35 AM.071;4.6152115;
7/31/2020 8:41:44 AM.949;14.0662079;7/31/2020 8:41:44 AM.986;9.1411324;7/31/2020 8:41:45 AM.019;24.0688477;7/31/2020 8:41:45 AM.051;24.1054688;7/31/2020 8:41:45 AM.083;4.9269066;
7/31/2020 8:41:54 AM.950;14.1211319;7/31/2020 8:41:54 AM.985;9.1388016;7/31/2020 8:41:55 AM.017;24.0488281;7/31/2020 8:41:55 AM.049;24.0820312;7/31/2020 8:41:55 AM.081;4.9814453;
7/31/2020 8:42:04 AM.949;14.1175385;7/31/2020 8:42:04 AM.981;9.1352959;7/31/2020 8:42:05 AM.012;24.0488281;7/31/2020 8:42:05 AM.044;24.1054688;7/31/2020 8:42:05 AM.076;4.9763985;
7/31/2020 8:42:14 AM.950;14.107811;7/31/2020 8:42:14 AM.976;9.1320038;7/31/2020 8:42:15 AM.008;24.0488281;7/31/2020 8:42:15 AM.039;24.0820312;7/31/2020 8:42:15 AM.071;4.9860687;
7/31/2020 8:42:24 AM.950;14.1259499;7/31/2020 8:42:24 AM.971;9.129631;7/31/2020 8:42:25 AM.003;24.0092773;7/31/2020 8:42:25 AM.035;24.0585938;7/31/2020 8:42:25 AM.071;5.0087242;
7/31/2020 8:42:34 AM.950;14.1320076;7/31/2020 8:42:34 AM.982;9.1262703;7/31/2020 8:42:35 AM.014;24.0092773;7/31/2020 8:42:35 AM.046;24.0390625;7/31/2020 8:42:35 AM.078;5.0029373;
7/31/2020 8:42:44 AM.949;14.1157341;7/31/2020 8:42:44 AM.978;9.1238251;7/31/2020 8:42:45 AM.010;24.0092773;7/31/2020 8:42:45 AM.042;24.0585938;7/31/2020 8:42:45 AM.074;4.9812431;
7/31/2020 8:42:54 AM.949;14.1022606;7/31/2020 8:42:54 AM.973;9.1197891;7/31/2020 8:42:55 AM.005;24.0292969;7/31/2020 8:42:55 AM.037;24.0820312;7/31/2020 8:42:55 AM.069;4.9727287;
7/31/2020 8:43:04 AM.949;14.0997658;7/31/2020 8:43:04 AM.984;9.1182213;7/31/2020 8:43:05 AM.016;24.0092773;7/31/2020 8:43:05 AM.049;24.0234375;7/31/2020 8:43:05 AM.081;4.9709244;
7/31/2020 8:43:14 AM.949;14.1290398;7/31/2020 8:43:14 AM.980;9.1155891;7/31/2020 8:43:15 AM.012;24.0292969;7/31/2020 8:43:15 AM.060;24.0390625;7/31/2020 8:43:15 AM.092;5.0034561;
7/31/2020 8:43:24 AM.948;14.1141853;7/31/2020 8:43:24 AM.976;9.1119957;7/31/2020 8:43:25 AM.008;24.0092773;7/31/2020 8:43:25 AM.039;24.0390625;7/31/2020 8:43:25 AM.071;5.0040665;
7/31/2020 8:43:34 AM.948;14.1016388;7/31/2020 8:43:34 AM.969;9.1077614;7/31/2020 8:43:35 AM.000;23.9892578;7/31/2020 8:43:35 AM.031;24.0390625;7/31/2020 8:43:35 AM.063;5.0034599;
