#PZ103
# Start time, end time
# Begins with second scan (start of acid injection)
StartTime,EndTime
2020-07-31 08:43:13.071360, 2020-07-31 08:46:46.368351
2020-07-31 08:48:35.848503, 2020-07-31 08:51:51.278470
2020-07-31 08:53:37.916643, 2020-07-31 08:56:51.937734
2020-07-31 08:58:38.816816, 2020-07-31 09:01:51.529764
2020-07-31 09:03:33.290612, 2020-07-31 09:06:43.947866
2020-07-31 09:08:26.118933, 2020-07-31 09:11:37.551430
2020-07-31 09:13:22.080309, 2020-07-31 09:16:30.547806
2020-07-31 09:18:23.243035, 2020-07-31 09:21:33.000000
2020-07-31 09:23:28.635993, 2020-07-31 09:26:49.744005
2020-07-31 09:28:39.041626, 2020-07-31 09:31:49.960674
2020-07-31 09:33:39.280312, 2020-07-31 09:36:52.322485
2020-07-31 09:38:38.067249, 2020-07-31 09:42:02.919505
2020-07-31 09:43:41.330043, 2020-07-31 09:46:56.813184
2020-07-31 09:48:41.460767, 2020-07-31 09:51:56.275528
2020-07-31 09:53:43.853500, 2020-07-31 09:56:58.833006
2020-07-31 09:58:38.526300, 2020-07-31 10:01:51.574383
2020-07-31 10:03:37.552718, 2020-07-31 10:06:53.539253
2020-07-31 10:08:37.479112, 2020-07-31 10:11:46.264166
2020-07-31 10:13:33.890163, 2020-07-31 10:16:51.390631
2020-07-31 10:18:38.234423, 2020-07-31 10:21:44.466517
2020-07-31 10:23:36.131382, 2020-07-31 10:26:55.767178
2020-07-31 10:28:42.162135, 2020-07-31 10:31:51.046107
2020-07-31 10:33:37.918682, 2020-07-31 10:36:49.225198
2020-07-31 10:38:31.998271, 2020-07-31 10:41:47.453967
2020-07-31 10:43:48.884110, 2020-07-31 10:47:03.719162
2020-07-31 10:48:52.256967, 2020-07-31 10:52:13.099094
2020-07-31 10:54:17.099643, 2020-07-31 10:57:46.158305
2020-07-31 10:59:16.345215, 2020-07-31 11:02:39.479502
2020-07-31 11:04:30.794116, 2020-07-31 11:07:50.000000
2020-07-31 11:09:38.297069, 2020-07-31 11:12:50.000000
2020-07-31 11:14:33.316931, 2020-07-31 11:17:43.710434
2020-07-31 11:19:32.229296, 2020-07-31 11:22:43.117110
2020-07-31 11:24:28.248188, 2020-07-31 11:27:43.079480
2020-07-31 11:29:28.992158, 2020-07-31 11:32:41.361853
2020-07-31 11:34:25.139769, 2020-07-31 11:37:37.097672
2020-07-31 11:39:28.788782, 2020-07-31 11:42:45.599361
2020-07-31 11:44:32.226901, 2020-07-31 11:47:48.023151
2020-07-31 11:49:34.827242, 2020-07-31 11:52:42.433744
2020-07-31 11:54:23.668892, 2020-07-31 11:57:27.353471
2020-07-31 11:59:12.074594, 2020-07-31 12:02:24.939431
2020-07-31 12:04:11.299134, 2020-07-31 12:07:21.579122
2020-07-31 12:09:16.449530, 2020-07-31 12:12:30.740785
2020-07-31 12:14:18.452817, 2020-07-31 12:17:32.854473
2020-07-31 12:19:20.753769, 2020-07-31 12:22:37.460481
2020-07-31 12:24:42.135465, 2020-07-31 12:27:59.175057
2020-07-31 12:29:32.627639, 2020-07-31 12:32:50.747724
2020-07-31 12:34:36.286227, 2020-07-31 12:38:00.369356
2020-07-31 12:39:32.151417, 2020-07-31 12:42:42.659292
2020-07-31 12:44:25.052749, 2020-07-31 12:47:29.818425
